symbol,hull,kj,snkb,sl,tp,n,wr,pf,ret,dd,final
SUN,8,24,52,3.0,,461,40.1,1.8,24042.9,-47.7,24142.9
SUN,8,48,52,3.0,,440,38.9,1.58,20847.9,-49.0,20947.9
SUN,8,24,40,3.0,,484,39.9,1.61,19578.1,-52.3,19678.1
SUN,8,36,52,3.0,,457,39.4,1.64,19106.5,-49.6,19206.5
SUN,8,24,52,3.0,20.0,461,40.1,1.72,15168.0,-47.7,15268.0
SUN,8,60,52,3.0,,415,38.8,1.46,14665.6,-36.6,14765.6
SUN,8,48,52,3.0,20.0,440,38.9,1.53,13890.2,-49.0,13990.2
SUN,8,36,52,3.0,20.0,457,39.4,1.58,13575.5,-49.6,13675.5
SUN,8,24,40,3.0,20.0,484,39.9,1.55,12345.1,-52.3,12445.1
SUN,8,48,52,3.0,10.0,446,39.0,1.52,11563.4,-32.4,11663.4
SUN,8,24,52,4.0,,459,40.5,1.89,9325.7,-31.8,9425.7
SUN,8,24,52,5.0,,457,40.7,1.9,4091.4,-27.2,4191.400000000001
XCN,12,60,40,4.0,,273,30.8,1.43,4083.6,-53.5,4183.599999999999
YGG,10,48,26,3.0,20.0,266,37.6,1.31,4041.1,-42.5,4141.1
XCN,12,60,26,4.0,,271,30.6,1.4,3997.3,-55.0,4097.3
ILV,8,36,40,3.0,12.0,387,38.5,1.49,3492.5,-53.3,3592.4999999999995
RSR,8,36,52,3.0,8.0,310,39.7,1.49,3410.5,-53.2,3510.4999999999995
ILV,10,36,40,4.0,20.0,334,40.7,1.43,3244.5,-44.0,3344.5
RSR,8,48,40,4.0,15.0,249,45.0,1.72,2967.9,-53.6,3067.9
ILV,10,36,40,4.0,12.0,336,40.5,1.4,2886.5,-44.0,2986.5
RSR,8,48,40,4.0,10.0,250,44.8,1.7,2802.3,-54.1,2902.3
ILV,8,36,40,3.0,10.0,388,38.7,1.46,2768.9,-53.6,2868.9
ILV,10,36,26,4.0,20.0,351,39.3,1.43,2663.8,-50.4,2763.8
