pairs,n_pairs,months,n_trades,final,ret,ann,pf,dd,pf_2024,ret_2024,dd_2024,pf_2025,ret_2025,dd_2025,pf_2026YTD,ret_2026YTD,dd_2026YTD,min_pf
SUN,1,30.8,457,4191.0,4091.0,328.0,1.9,-27.0,2.1,846.0,-27.0,1.92,159.0,-27.0,1.78,41.0,-11.0,1.78
MNT,1,30.8,374,2696.0,2596.0,261.0,1.56,-24.0,1.63,288.0,-24.0,1.58,134.0,-21.0,1.39,25.0,-16.0,1.39
XCN,1,30.8,271,2422.0,2322.0,246.0,1.55,-52.0,1.21,94.0,-48.0,1.85,1120.0,-29.0,0.7,-17.0,-23.0,0.7
ILV,1,30.8,331,2239.0,2139.0,235.0,1.53,-40.0,1.3,105.0,-40.0,1.45,241.0,-19.0,2.06,103.0,-24.0,1.3
AXS,1,30.8,342,1225.0,1125.0,165.0,1.29,-54.0,1.53,168.0,-33.0,1.34,114.0,-23.0,1.2,47.0,-54.0,1.2
AERO,1,21.3,127,1065.0,965.0,278.0,1.78,-31.0,2.64,94.0,-11.0,1.57,177.0,-17.0,1.85,57.0,-31.0,1.57
RSR,1,30.8,197,859.0,759.0,131.0,1.85,-37.0,1.32,47.0,-37.0,1.67,154.0,-20.0,2.19,98.0,-13.0,1.32
AKT,1,22.0,180,509.0,409.0,143.0,1.61,-31.0,1.01,1.0,-31.0,1.74,217.0,-15.0,1.24,12.0,-16.0,1.01
ATOM,1,30.8,291,448.0,348.0,79.0,1.41,-28.0,1.56,132.0,-23.0,1.4,93.0,-22.0,1.26,10.0,-14.0,1.26
PEAQ,1,17.2,73,341.0,241.0,136.0,1.87,-33.0,,,,1.24,34.0,-33.0,3.08,94.0,-14.0,1.24
MNT+SUN,2,30.8,831,105725.0,105625.0,1405.0,1.62,-30.0,1.81,3274.0,-27.0,1.82,508.0,-30.0,1.48,75.0,-21.0,1.48
SUN+XCN,2,30.8,728,94375.0,94275.0,1339.0,1.56,-57.0,1.57,1581.0,-48.0,1.86,3084.0,-27.0,1.14,18.0,-25.0,1.14
ILV+SUN,2,30.8,788,77615.0,77515.0,1234.0,1.66,-39.0,1.66,1687.0,-33.0,1.62,711.0,-26.0,1.79,176.0,-22.0,1.62
MNT+XCN,2,30.8,645,55865.0,55765.0,1074.0,1.43,-53.0,1.36,633.0,-53.0,1.58,2537.0,-34.0,1.02,3.0,-26.0,1.02
MNT+ILV,2,30.8,705,47207.0,47107.0,999.0,1.51,-42.0,1.41,556.0,-42.0,1.44,670.0,-31.0,1.68,153.0,-26.0,1.41
AXS+SUN,2,30.8,799,42816.0,42716.0,958.0,1.32,-57.0,1.95,2192.0,-31.0,1.55,414.0,-31.0,1.23,109.0,-57.0,1.23
ILV+XCN,2,30.8,602,41545.0,41445.0,946.0,1.47,-53.0,1.22,223.0,-53.0,1.44,3813.0,-31.0,1.35,66.0,-40.0,1.22
SUN+RSR,2,30.8,654,34094.0,33994.0,868.0,1.9,-43.0,1.74,1263.0,-43.0,1.89,539.0,-19.0,1.87,179.0,-13.0,1.74
AERO+XCN,2,21.3,286,33269.0,33169.0,2516.0,1.54,-41.0,1.72,206.0,-28.0,1.52,3253.0,-34.0,1.24,33.0,-41.0,1.24
MNT+AXS,2,30.8,716,27362.0,27262.0,789.0,1.26,-51.0,1.59,794.0,-46.0,1.39,393.0,-38.0,1.18,81.0,-51.0,1.18
AXS+XCN,2,30.8,613,24483.0,24383.0,751.0,1.24,-62.0,1.32,328.0,-48.0,1.43,2515.0,-40.0,1.06,21.0,-62.0,1.06
MNT+RSR,2,30.8,571,22138.0,22038.0,719.0,1.71,-49.0,1.44,450.0,-49.0,1.64,509.0,-24.0,1.73,146.0,-17.0,1.44
XCN+RSR,2,30.8,468,17454.0,17354.0,646.0,1.61,-58.0,1.21,186.0,-58.0,1.61,2710.0,-31.0,1.37,61.0,-30.0,1.21
SUN+ATOM,2,30.8,748,16890.0,16790.0,637.0,1.65,-37.0,1.93,1968.0,-28.0,1.68,385.0,-28.0,1.48,52.0,-18.0,1.48
ILV+RSR,2,30.8,528,15861.0,15761.0,619.0,1.74,-47.0,1.27,183.0,-47.0,1.46,682.0,-27.0,2.01,291.0,-30.0,1.27
